seller_id,seller_state,seller_city,performance_tier,total_orders,avg_delivery_days,avg_shipping_days,avg_approval_delay,late_rate_pct,late_orders,on_time_orders,total_revenue,avg_freight,avg_deviation
05d2173d43ea568aa0540eba70d2ca76,MG,alfenas,Tier 2 - Average,62,14.65,2.57,0.61,6.45,4,62,5759.66,25.443484848484847,-10.89
05f51e13da97139648b8125c31e5f51b,MG,belo horizonte,Tier 2 - Average,57,12.29,5.03,0.19,15.79,9,51,13100.31,31.477500000000003,-9.17
05ff92fedb5be47920fea08e501238b9,RS,santo angelo,Tier 2 - Average,57,12.25,2.6,0.38,5.26,3,57,21235.98,29.131500000000003,-17.2
062ce95fa2ad4dfaedfc79260130565f,RS,lajeado,Tier 2 - Average,54,13.34,5.74,0.46,3.7,2,57,7479.1,20.073389830508475,-12.88
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,sao paulo - sp,Tier 3 - Poor,61,10.96,2.16,0.29,18.03,11,59,4587.4,20.293857142857142,-8.38
066a6914e1ebf3ea95a216c73a986b91,PR,foz do iguacu,Tier 2 - Average,66,14.17,3.23,0.2,4.55,3,69,8956.38,22.988611111111112,-16.15
0691148aee60ca47977c187804f935ae,PR,londrina,Tier 2 - Average,47,13.01,2.77,0.4,4.26,2,51,5868.51,28.130943396226417,-12.07
06a2c3af7b3aee5d69171b0e14f0ee87,MA,sao luis,Tier 4 - Critical,385,17.79,4.98,0.42,24.68,95,303,35664.02,30.060879396984923,-10.46
06bb3a2fe5e7b7a845b13e8fb91bd944,MG,belo horizonte,Tier 1 - Excellent,17,8.9,1.48,0.34,0.0,0,18,1536.19,18.11888888888889,-13.09
06df0c10d34e459d9672bc77388742eb,PR,maringa,Tier 2 - Average,26,9.7,1.28,0.12,11.54,3,27,9070.0,17.525666666666666,-13.96
06e5eefc71ec47ae763c5c6f8db7064f,RS,porto alegre,Tier 2 - Average,90,10.97,2.43,0.44,2.22,2,91,21648.67,23.136021505376345,-16.16
070d165398b553f3b4b851c216b8a358,SP,sao paulo,Tier 2 - Average,31,11.01,3.94,0.45,16.13,5,33,3333.17,25.472105263157893,-8.43
0725b8c0f3f906e58f70cbe76b7c748c,SP,guarulhos,Tier 3 - Poor,16,11.78,5.52,0.73,43.75,7,29,2161.52,19.554166666666667,-14.92
0747d5bb69f0586cc869d8af4c50f93e,RJ,saquarema,Tier 2 - Average,12,14.3,5.73,0.46,8.33,1,12,322.8,13.956923076923077,-15.79
07bf9669d84d1f11be443a9dd938f698,SP,sao paulo,Tier 1 - Excellent,18,8.71,1.85,0.38,0.0,0,24,1776.0,26.925833333333333,-18.4
080102cd0a76b09e0dcf55fcacc60e05,MG,belo horizonte,Tier 1 - Excellent,122,9.72,1.55,0.47,4.1,5,123,5612.65,16.881484375,-11.13
080199a181c46c657dc5aa235411be3b,SP,osasco,Tier 1 - Excellent,78,8.12,2.31,0.25,2.56,2,80,14384.2,12.460243902439025,-9.01
08084d990eb3f53af056ccbc1730c8a7,SP,sao paulo,Tier 1 - Excellent,12,8.5,3.57,0.15,0.0,0,12,372.5,19.524166666666666,-14.99
082e0bf4cb865a6533b1e8e498cc0255,SP,botucatu,Tier 3 - Poor,11,13.15,1.76,0.66,27.27,3,20,2073.3,43.08826086956522,-17.02
08633c14ef2db992c11f840f04fad4cd,SP,ribeirao pires,Tier 2 - Average,73,10.28,1.54,0.42,8.22,6,89,7578.9,14.672210526315789,-10.98
0885aaf116795758dfeb5f1032487bcd,SP,ferraz de vasconcelos,Tier 1 - Excellent,27,5.74,1.15,0.37,3.7,1,28,2573.1,17.208275862068966,-10.66
0887a9f087bcd5d9f6642b52f897fc6c,SP,cananeia,Tier 2 - Average,12,14.24,1.39,0.24,8.33,1,11,1642.0,18.3625,-11.86
08d0949a9a17c027262db1f3c450c26c,PR,cascavel,Tier 2 - Average,12,14.33,4.29,0.17,0.0,0,12,324.8,19.42,-11.1
08d2d642cf72b622b14dde1d2f5eb2f5,SP,marilia,Tier 3 - Poor,16,14.93,3.53,0.28,18.75,3,17,909.0,15.307999999999998,-10.77
093805f8f2aeb63881444571e1f48f30,SP,osasco,Tier 1 - Excellent,22,8.17,2.91,0.79,4.55,1,26,1215.79,12.738518518518518,-10.04
094ced053e257ae8cae57205592d6712,SP,ribeirao preto,Tier 2 - Average,19,12.16,2.04,0.55,0.0,0,19,1519.2,24.15947368421053,-14.95
099095b050cfe8eb1ddff5317587e96e,SP,sao paulo,Tier 3 - Poor,16,10.41,2.4,0.12,18.75,3,16,5003.84,36.9521052631579,-10.54
09f952a5f58d2285b0372551ae8f9b01,SP,sao bernardo do campo,Tier 2 - Average,50,13.15,2.92,0.64,6.0,3,53,11821.5,27.231428571428573,-11.41
0a85ebe4e328db81ac9109781205e2f7,SP,jundiai,Tier 2 - Average,12,5.25,1.77,0.53,8.33,1,11,667.9,11.479166666666666,-7.66
0ac4201fda2c68ebc0e47cb9423cf3c9,SP,sao paulo,Tier 2 - Average,13,12.48,2.17,0.52,7.69,1,13,1676.88,16.71357142857143,-11.57
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,louveira,Tier 2 - Average,106,12.78,4.38,0.53,6.6,7,127,15557.6,17.894776119402987,-10.6
0afccdb8a34ee5c79f7c06faf2b4d56e,MG,uberlandia,Tier 2 - Average,24,13.47,3.73,0.43,8.33,2,22,1185.6,15.47875,-9.69
0b35c634521043bf4b47e21547b99ab5,PR,teixeira soares,Tier 4 - Critical,50,17.42,3.34,0.39,18.0,9,68,13235.65,18.89792207792208,-14.15
0b90b6df587eb83608a64ea8b390cf07,PR,maringa,Tier 2 - Average,163,14.4,2.66,0.41,4.29,7,202,28492.76,17.216172248803826,-17.62
0bae85eb84b9fb3bd773911e89288d54,SP,itajai,Tier 2 - Average,135,10.28,1.36,0.31,0.74,1,143,7363.75,20.050833333333333,-14.52
0bb738e4d789e63e2267697c42d35a2d,SP,sao roque,Tier 2 - Average,28,11.94,2.95,0.39,3.57,1,28,1979.4,20.403448275862072,-13.38
0be8ff43f22e456b4e0371b2245e4d01,SP,sao paulo,Tier 2 - Average,156,10.34,2.47,0.28,7.05,11,164,11336.0,14.33422857142857,-11.11
0bf0150d5b9d60d9cd2906003332f085,SP,sao paulo,Tier 3 - Poor,39,14.13,5.39,0.41,30.77,12,50,5774.6,17.705483870967743,-6.53
0c7533c71df861ec58ad7ff999ed0e8d,SP,valinhos,Tier 2 - Average,61,10.6,3.15,0.27,4.92,3,70,2989.3,11.975479452054795,-9.07
0c8380b62e38e8a1e6adbeba7eb9688c,MG,tres coracoes,Tier 2 - Average,180,12.58,3.16,0.32,6.11,11,207,17228.99,18.67775229357798,-11.81
0cbcee27c791afa0cdcb08587a2013a8,MG,tres coracoes,Tier 2 - Average,38,13.42,2.25,0.31,10.53,4,36,5189.15,20.051,-14.63
0d33a55da925bbf1ff02af5f6059fc7f,SP,sao paulo,Tier 1 - Excellent,21,8.61,1.81,0.31,4.76,1,22,519.3,14.48391304347826,-11.47
0d85bbda9889ce1f7e63778d24f346eb,MG,uberlandia,Tier 4 - Critical,51,18.32,3.23,0.48,21.57,11,47,4845.2,28.00862068965517,-9.36
0db783cfcd3b73998abc6e10e59a102f,SP,santos,Tier 2 - Average,132,11.66,2.97,0.53,3.79,5,132,9077.4,14.592335766423359,-12.42
0dd184061fb0eaa7ca37932c68ab91c5,SP,guarulhos,Tier 2 - Average,158,11.3,2.84,0.33,12.03,19,171,18150.92,27.188000000000002,-10.37
0df3984f9dfb3d49ac6366acbd3bbb85,MG,betim,Tier 1 - Excellent,86,9.61,2.7,0.37,1.16,1,87,9891.49,16.852840909090908,-14.13
0ea22c1cfbdc755f86b9b54b39c16043,MG,sete lagoas,Tier 2 - Average,234,11.02,2.02,0.5,1.71,4,261,10592.1,15.969735849056603,-16.1
0eaa7e33d73809f1f925f7d07c506cbd,SP,santo andre,Tier 1 - Excellent,15,5.9,1.29,0.34,0.0,0,15,1552.0,12.993333333333334,-14.12
0ebd97a106433a45a4aebe57c1799778,MG,contagem,Tier 1 - Excellent,31,9.26,2.46,0.43,0.0,0,32,3046.8,19.215,-16.46
0ed6ce5d87fd9c69eaacaeb778d67235,SP,americana,Tier 3 - Poor,42,16.0,5.01,0.32,14.29,6,36,2026.52,15.97095238095238,-12.08
0ef83d7d83ed97cd2a0049ac8be5f88a,PR,curitiba,Tier 1 - Excellent,48,9.62,1.78,0.25,2.08,1,54,4421.01,18.669090909090908,-13.19
0ff83046c3fa22efee8ecf291888b191,RS,caxias do sul,Tier 2 - Average,10,12.32,3.79,0.28,0.0,0,11,768.9,23.134545454545457,-16.53
0ffa40d54288e4f3499b8780dd0f144f,SP,presidente prudente,Tier 2 - Average,33,13.46,2.21,0.46,15.15,5,30,2162.8,16.67628571428571,-11.45
10076e5788b8ee532724bcd460baf762,SP,batatais,Tier 1 - Excellent,23,9.81,1.62,0.18,4.35,1,25,821.48,14.511538461538462,-11.52
1025f0e2d44d7041d6cf58b6550e0bfa,SP,sao paulo,Tier 2 - Average,909,12.06,4.25,0.52,14.41,131,1286,138007.56,23.742025405786872,-10.32
1127b7f2594683f2510f1c2c834a486b,SP,campinas,Tier 2 - Average,110,10.25,2.47,0.47,7.27,8,120,6669.7,13.81796875,-9.97
11305281b50fff20ae8bb473f8e11876,MG,uba,Tier 2 - Average,35,14.01,2.5,0.5,14.29,5,35,6528.7,36.11275,-12.04
113e3a788b935f48aad63e1c41dac1bd,SP,aparecida,Tier 2 - Average,39,12.04,2.47,0.42,5.13,2,46,847.35,14.304166666666667,-14.96
116ccb1a1604bc88e4d234a8c23f33de,SP,sao bernardo do campo,Tier 1 - Excellent,60,8.83,1.79,0.43,6.67,4,68,1985.89,12.925694444444444,-10.12
11bfa66332777660bd0640ee84d47006,SP,ribeirao preto,Tier 4 - Critical,76,16.17,2.58,0.52,23.68,18,84,3925.87,16.496764705882352,-8.11
128639473a139ac0f3e5f5ade55873a5,PR,maringa,Tier 2 - Average,527,14.41,2.92,0.41,6.64,35,519,11795.85,17.472364620938627,-11.55
128f9bfbe4c7d5185033914b1de3d39a,SP,atibaia,Tier 2 - Average,13,12.83,4.27,0.78,7.69,1,14,1267.39,16.798666666666666,-12.83
12b9676b00f60f3b700e83af21824c0e,RS,montenegro,Tier 2 - Average,133,15.05,4.62,0.5,1.5,2,131,26376.0,26.508796992481205,-20.57
13074f016982ff2bd6c58ced8682f000,RS,bento goncalves,Tier 3 - Poor,13,14.54,4.48,0.22,30.77,4,10,1977.0,55.40428571428571,-7.42
1336efc61c316ddf92c899eb817f7cae,SP,assis,Tier 2 - Average,74,11.71,3.36,0.33,10.81,8,77,4837.31,17.858588235294118,-10.52
1354d51653f645349064725ed204e85e,SP,sao paulo,Tier 1 - Excellent,18,9.2,3.81,0.58,5.56,1,19,2410.0,14.236,-18.12
138dbe45fc62f1e244378131a6801526,SP,sao paulo,Tier 1 - Excellent,48,6.21,1.9,0.42,4.17,2,55,1111.66,11.934035087719298,-8.82
13d058e4eeac2ce8217660b2f8a05812,SP,osasco,Tier 2 - Average,22,11.4,3.42,0.42,13.64,3,19,3739.78,41.25409090909091,-9.52
141440cad9341e553f8401c574a2aa38,PR,pitanga,Tier 1 - Excellent,10,7.03,1.39,0.2,0.0,0,11,1168.4,23.91,-20.76
1430239a858e7682bbc43b20758af153,SP,sao paulo,Tier 1 - Excellent,17,7.27,1.58,0.13,0.0,0,22,633.99,11.575000000000001,-10.06
1464afc72f696af775557a821c2e253f,RJ,nova friburgo,Tier 2 - Average,29,11.26,1.36,0.69,3.45,1,29,1059.36,15.147333333333334,-12.01
14a08204d03bb6b6bde8029f801ae0eb,SP,sao paulo,Tier 1 - Excellent,27,8.5,2.66,0.43,0.0,0,37,2141.4,15.42837837837838,-15.13
14d7985702e72162bbf13b6beb74ab2b,SP,santo andre,Tier 2 - Average,37,11.15,2.55,0.65,13.51,5,33,3887.0,14.578947368421053,-7.98
1554a68530182680ad5c8b042c3ab563,MG,monte siao,Tier 2 - Average,245,14.11,2.48,0.38,7.76,19,247,28799.74,24.931578947368422,-13.09
157c3e4b42f81ac4a44e8b1ca2fe9876,SP,sao paulo,Tier 2 - Average,22,10.49,3.72,0.79,9.09,2,28,2458.5,19.17,-11.25
15aac934c58d886785ac1b17953ea898,ES,muqui,Tier 2 - Average,25,15.58,2.5,0.56,16.0,4,22,4353.9,25.603846153846153,-6.84
15cd6eefe58588619aaed41dfa6621b1,MG,ouro preto,Tier 2 - Average,16,14.41,3.66,0.18,6.25,1,17,1622.74,31.45111111111111,-10.34
16090f2ca825584b5a147ab24aa30c86,SP,atibaia,Tier 2 - Average,398,9.22,2.02,0.56,11.06,44,362,25579.16,13.312463054187191,-8.94
165b1235e9e9942cb5fae67103576fb0,SP,ribeirao preto,Tier 2 - Average,11,7.16,0.98,0.3,9.09,1,15,2085.15,25.290625,-7.54
165fc07beebdcb6190fba8a06db2a449,PR,maringa,Tier 2 - Average,50,13.49,3.98,0.59,16.0,8,56,17481.4,25.00046875,-10.35
1660ad786c27fd935378b6192a90b417,SP,sao bernardo do campo,Tier 2 - Average,12,8.91,2.35,0.25,8.33,1,12,1570.0,19.09846153846154,-10.0
1690cada046eb7e92c12f98b1f8a8167,SP,sao paulo,Tier 2 - Average,10,7.35,2.02,0.81,10.0,1,9,1760.0,23.291,-13.46
17306570e772e7718c92a562d33f5f1d,SP,bariri,Tier 2 - Average,27,13.96,4.37,0.33,7.41,2,28,8640.0,25.86366666666667,-9.39
1771297ac436903d1dd6b0e9279aa505,SP,guarulhos,Tier 1 - Excellent,28,9.42,1.38,0.2,3.57,1,35,2881.27,16.254444444444445,-15.37
17908cf9b444ee34047cadd5c0f4a516,GO,anapolis,Tier 3 - Poor,11,18.88,3.16,0.99,9.09,1,10,1993.99,45.583636363636366,-11.19
179d859f51292aac5c10806a356f7af9,SP,ribeirao pires,Tier 3 - Poor,18,9.15,2.07,1.25,16.67,3,16,404.47,20.83157894736842,-9.14
17a053fcb14bd219540cbde0df490be0,SP,mogi guacu,Tier 2 - Average,124,11.98,3.83,0.68,9.68,12,136,40353.24,59.197094594594596,-9.42
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,betim,Tier 1 - Excellent,114,8.1,1.91,0.57,2.63,3,124,9499.89,18.368818897637798,-13.32
17e34d8224d27a541263c4c64b11a56b,SP,riberao preto,Tier 2 - Average,247,14.04,2.94,0.29,8.5,21,239,54440.28,19.57773076923077,-10.15
17f51e7198701186712e53a39c564617,SP,sao paulo,Tier 3 - Poor,56,22.76,12.26,0.52,8.93,5,56,48019.0,160.54803278688524,-11.59
1835b56ce799e6a4dc4eddc053f04066,SP,ibitinga,Tier 2 - Average,415,12.8,2.02,0.39,13.98,58,491,32891.34,15.635701275045538,-10.05
1838dd9b8977065acf51d95e0053ea7a,MG,belo horizonte,Tier 2 - Average,62,12.56,1.63,0.44,4.84,3,62,2750.5,18.65830769230769,-10.38
18a349e75d307f4b4cc646a691ed4216,SP,sao paulo,Tier 2 - Average,109,11.07,3.52,0.58,6.42,7,121,7425.21,14.77078125,-14.1
18e694e0e48ed6f7aa3f24aade5fd697,SP,varzea paulista,Tier 1 - Excellent,31,6.08,1.63,0.42,3.23,1,33,701.54,14.830294117647059,-12.71
1900267e848ceeba8fa32d80c1a5f5a8,SP,ibitinga,Tier 2 - Average,406,12.8,2.33,0.39,12.81,52,471,24639.57,15.372791586998089,-9.4
1987cd4be10fe09ee50454f9c354d1c6,MG,ouro fino,Tier 3 - Poor,14,15.74,4.91,0.13,7.14,1,15,2877.7,16.095625000000002,-13.46
198c7ea11960a9844b544d9bcdca860c,MG,jacutinga,Tier 2 - Average,25,14.51,2.32,0.45,12.0,3,22,1733.75,19.6652,-10.2
1a3df491d1c4f1589fc2b934ada68bf2,SC,joinville,Tier 2 - Average,159,15.09,4.02,0.41,5.66,9,161,22322.5,23.90870588235294,-12.31
1a932caad4f9d804097d7f8e615baed1,SP,sao paulo,Tier 3 - Poor,20,8.81,1.28,0.27,20.0,4,26,4661.0,34.681666666666665,-11.36
1b1ae47a313a825a7ccceb8e2e30fa9d,PR,bocaiuva do sul,Tier 2 - Average,10,10.65,2.83,0.19,0.0,0,10,2184.0,22.937,-13.57
1b4c3a6f53068f0b6944d2d005c9fc89,SC,sao ludgero,Tier 2 - Average,111,14.34,1.95,0.55,6.31,7,108,14420.5,25.882521739130436,-12.15
1b7e5006cb25dd23ce8686691013b121,SP,sao paulo,Tier 3 - Poor,11,15.49,7.19,0.26,18.18,2,9,2636.74,13.565454545454545,-5.68
1b8356dabde1d35e17cef975c3f82730,SP,sao paulo,Tier 2 - Average,55,10.26,1.78,0.34,1.82,1,59,3366.4,16.1705,-13.62
1b8b75e227c9a9c100d0c210fb6176ce,SP,sao paulo,Tier 2 - Average,15,15.0,9.59,0.45,6.67,1,14,1444.87,13.574666666666667,-18.93
1b938a7ec6ac5061a66a3766e0e75f90,SP,penapolis,Tier 2 - Average,29,11.38,1.91,0.55,3.45,1,30,3859.8,27.730645161290322,-14.0
1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,sao paulo,Tier 2 - Average,79,12.31,5.45,0.49,7.59,6,77,4905.76,13.471927710843374,-12.56
1c129092bf23f28a5930387c980c0dfc,SP,sao paulo,Tier 2 - Average,200,11.59,3.98,0.31,5.5,11,208,9528.62,13.797123287671234,-9.57
1c40343cc5d18c2d8248ac2f3366de34,SP,limeira,Tier 2 - Average,21,7.4,2.41,0.26,9.52,2,20,2461.41,17.18227272727273,-11.31
1c5e4e49b9079480255b49d50aac1aa9,SP,santos,Tier 1 - Excellent,12,8.8,3.24,0.24,0.0,0,12,10173.11,74.13416666666667,-11.53
1c68394e931a64f90ea236c5ea590300,PR,sarandi,Tier 3 - Poor,142,15.75,4.95,0.45,4.23,6,165,24832.75,16.938070175438597,-14.71
1ca7077d890b907f89be8c954a02686a,SP,santana de parnaiba,Tier 3 - Poor,108,15.03,5.39,0.29,23.15,25,102,12474.64,11.984330708661417,-6.16
1caf283236cd69af44cbc09a0a1e7d32,RJ,nova iguacu,Tier 2 - Average,33,14.05,2.38,0.45,12.12,4,33,917.6,16.558108108108108,-10.68
1cbd32d00d01bb8087a5eb088612fd9c,SP,sp / sp,Tier 2 - Average,11,12.2,4.25,0.34,9.09,1,11,1045.47,20.338333333333335,-9.5
1ce3ae5a399804d1a87e706f8a813c3e,SC,jaguaruna,Tier 2 - Average,39,13.86,2.34,0.59,10.26,4,39,2523.1,19.336744186046513,-15.52
1d29dfba02015238dfbe2449a5eaa361,MG,vicosa,Tier 2 - Average,12,15.37,2.05,1.02,8.33,1,11,612.8,14.76,-8.71
1d4587203296c8f4ad134dc286fa6db0,SP,sao paulo,Tier 1 - Excellent,40,9.53,1.76,0.59,5.0,2,39,2287.5,15.961219512195122,-10.58
1d503743d2526f03f0c2c89540ee008c,SP,sao paulo,Tier 2 - Average,12,8.95,1.79,0.13,8.33,1,16,516.04,12.028823529411765,-8.82
1d8dbc4f32378d715c717c1c1fc57bae,PR,arapongas,Tier 2 - Average,91,15.57,4.4,0.29,9.89,9,88,11205.99,21.49639175257732,-11.29
1da366cade6d8276e7d8beea7af5d4bf,MG,uba,Tier 3 - Poor,42,17.41,7.33,0.49,14.29,6,42,6348.59,35.166875,-7.86
1da3aeb70d7989d1e6d9b0e887f97c23,SP,sao paulo,Tier 1 - Excellent,260,8.36,1.91,0.37,6.15,16,307,8681.57,12.870866873065015,-10.97
1dc2de47ee26a0a5b12dc14fd6dc0dea,SP,ibitinga,Tier 2 - Average,25,14.69,2.59,0.47,12.0,3,24,1670.3,22.85925925925926,-8.22
1dcfa3835714681d4ba4a93bc1e0fd41,SP,birigui,Tier 3 - Poor,12,15.82,6.76,0.5,0.0,0,14,1186.6,21.205714285714286,-14.76
1dfe5347016252a7884b694d4f10f5c4,SP,ibitinga,Tier 4 - Critical,20,19.46,2.43,0.35,30.0,6,20,1632.5,16.155384615384616,-6.98
1e8b33f18b4f7598d87f5cbee2282cc2,SP,sao paulo,Tier 1 - Excellent,122,7.79,1.71,0.37,4.92,6,133,17233.56,19.356187050359715,-10.26
1eade46fba20122dc4aefb379f8c636b,SP,sao paulo,Tier 3 - Poor,58,12.07,2.09,0.44,17.24,10,65,3635.37,13.844533333333333,-6.89
1f1bb1f0859883505541bdd6606193e5,SP,sao paulo,Tier 2 - Average,27,14.17,3.8,0.18,11.11,3,26,16040.84,18.00103448275862,-9.68
1f50f920176fa81dab994f9023523100,SP,sao jose do rio preto,Tier 2 - Average,1399,15.57,3.93,0.56,13.01,182,1744,106655.71,18.202092419522327,-10.13
1f9ab4708f3056ede07124aad39a2554,SP,tupa,Tier 2 - Average,76,14.57,3.14,0.46,5.26,4,73,13312.93,30.90545454545455,-12.82
1fdc574883ef3b33ad41562d93f3a74a,SP,limeira,Tier 2 - Average,18,11.25,1.87,0.43,5.56,1,17,4251.0,15.181666666666665,-10.75
1fe5540d7c1c37a595fefbacd5570d9e,RJ,paraiba do sul,Tier 2 - Average,20,12.0,2.65,0.21,5.0,1,24,4537.6,23.246,-13.71
2059c39f76271d4ca3f15b5ffaccc8b8,PR,curitiba,Tier 1 - Excellent,12,9.59,2.44,0.4,0.0,0,12,604.9,15.532499999999999,-12.76
2089a6d640999f9b9141ac719b2af596,SP,sao carlos,Tier 3 - Poor,41,19.53,9.32,0.55,14.63,6,35,7676.02,15.624634146341464,-10.75
20cb7c2fde3e5bf10f0bbe7394e1c6a9,PR,andira-pr,Tier 2 - Average,31,12.15,2.33,0.46,16.13,5,45,845.0,15.603,-12.17
20d83f3ef0e6925fd74bfd59170babf7,SP,sao paulo,Tier 1 - Excellent,40,8.52,1.88,0.52,5.0,2,52,2903.6,12.10388888888889,-10.89
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,sao paulo,Tier 2 - Average,388,11.26,2.71,0.48,5.93,23,396,12089.22,14.087517899761338,-12.04
213b25e6f54661939f11710a6fddb871,SP,salto,Tier 2 - Average,152,15.23,7.72,0.43,13.82,21,169,15105.95,17.79478947368421,-10.33
2156f2671501a81034d7d07f217609d0,SP,sp,Tier 2 - Average,21,15.28,3.37,0.67,14.29,3,18,2909.5,18.73761904761905,-5.81
